"gene_id","logFC","AveExpr","t","P.Value","adj.P.Val"
"201431_s_at",3.49712450151921,8.60343619140372,12.8125646238649,5.77128245076499e-16,1.28566859155692e-11
"211235_s_at",-1.08621748187794,6.15812739788114,-12.031887613531,4.51653976512319e-15,3.79865761861083e-11
"208131_s_at",5.38494272759489,8.1693514544449,11.9855458779786,5.11557788563652e-15,3.79865761861083e-11
"219850_s_at",-3.50295797700193,5.209628096752,-11.8088310372603,8.24597986020511e-15,4.59239233364473e-11
"218918_at",1.98582652155628,7.51042865454001,11.3635738342286,2.7950767441336e-14,1.24531849258128e-10
"207864_at",1.54063766266389,3.62333630409971,10.982567267083,8.10725936392429e-14,3.01009028083569e-10
"213929_at",-2.44043901531133,5.22071918198502,-10.7899212505282,1.39903649856034e-13,4.06924686757574e-10
"204223_at",4.11545108440917,7.39950815272918,10.774613563633,1.46132670200682e-13,4.06924686757574e-10
"201689_s_at",-2.95872036369901,5.82284904551622,-10.6597040370994,2.02853411090877e-13,5.02107270985718e-10
"201666_at",2.30125991313178,11.714838004377,10.5113716675969,3.10561074942846e-13,6.91836906650179e-10
"202796_at",3.16047896722152,7.66226291468638,10.436275245293,3.85710850344703e-13,7.45045103360848e-10
"201792_at",3.04451511795626,10.052877321368,10.3618022549375,4.78529414712889e-13,7.45045103360848e-10
"204589_at",1.77457234562384,7.99676854756867,10.3535558330878,4.90114271322426e-13,7.45045103360848e-10
"204931_at",4.81642712274786,7.14940455698791,10.3483105508181,4.9763080700618e-13,7.45045103360848e-10
"202808_at",1.18194750451317,9.09972937885515,10.3455258055836,5.01668831099911e-13,7.45045103360848e-10
"205226_at",2.30816261967782,8.064792593083,10.2593624743497,6.44512641361858e-13,8.82007802760801e-10
"218665_at",1.33528783939866,7.4465417848152,10.2441675317183,6.73696171076519e-13,8.82007802760801e-10
"222334_at",-3.08612300676388,7.4578638177717,-10.2146601543681,7.34259019054709e-13,8.82007802760801e-10
"221747_at",2.13412957377524,7.98995947883069,10.2017344897408,7.62502343711204e-13,8.82007802760801e-10
"205330_at",2.47160772724783,6.78700405212216,10.1371404947763,9.21079589212004e-13,9.77090000422657e-10
"37079_at",-2.78941994209598,4.74682227482453,-10.1142001813531,9.85133606183116e-13,9.86056135089605e-10
"202992_at",5.91818878873021,8.09416031585354,10.1029908994413,1.01805858540472e-12,9.86056135089605e-10
"209621_s_at",3.54251803345894,7.25151815086284,10.0721553918858,1.11451301986416e-12,1.03450027264642e-09
"211276_at",3.43044904650179,6.52072700181745,10.0300793368241,1.26128621825797e-12,1.10733022928163e-09
"219121_s_at",-2.36790393794125,6.55211658103663,-10.0218028588992,1.29239062536797e-12,1.10733022928163e-09
"212813_at",1.59531068640798,8.69406170064717,9.98360136507402,1.44636416086646e-12,1.19335757080082e-09
"221748_s_at",1.94802123729161,10.2057314460093,9.9686576772897,1.5115486849076e-12,1.20259893048881e-09
"203706_s_at",3.68762192240036,6.97027833753233,9.93518987201297,1.66856451001992e-12,1.24738614870102e-09
"212736_at",1.06393370592016,7.74564945735262,9.93291282214641,1.67983051851823e-12,1.24738614870102e-09
"213438_at",3.4762401049214,5.60833001646146,9.91090961943769,1.79275169382088e-12,1.28829449945961e-09
"206584_at",2.3580259626614,7.1445373897314,9.89901369229724,1.85697931523629e-12,1.29274775642246e-09
"210002_at",4.87523026548396,6.14091075103824,9.86716604204654,2.04066448614104e-12,1.34315867812716e-09
"219976_at",-2.69967758317103,5.53856745004996,-9.86562941578337,2.04997957787509e-12,1.34315867812716e-09
"217897_at",2.16237305452158,8.52511695448881,9.84199635163653,2.19880230060252e-12,1.39950625287206e-09
"203304_at",1.86324601741565,8.14094855567041,9.82493779264196,2.31299552810474e-12,1.43129448276637e-09
"201185_at",2.11764262950559,10.3260166730915,9.80496182661448,2.45439448496579e-12,1.44321784200891e-09
"215552_s_at",-1.40400802048515,5.81628362306996,-9.80394338019752,2.46183408880633e-12,1.44321784200891e-09
"37005_at",2.45752543061225,10.2208742797927,9.77395700890034,2.69144196988819e-12,1.53736545546664e-09
"202746_at",3.08788886787135,7.86995449217459,9.61464100526432,4.33074990106531e-12,2.35307598892761e-09
"201690_s_at",-2.6432657472569,7.86738879565518,-9.57344702382417,4.90008005494054e-12,2.59902579485501e-09
"207015_s_at",-1.2341735231604,6.25744698875647,-9.48856970089462,6.32434152074314e-12,3.2764501408743e-09
"214180_at",1.39867359242976,7.24535905261406,9.46516005298206,6.78651029464762e-12,3.40089289619903e-09
"205792_at",4.01639317697399,7.29790196066462,9.46111014252966,6.86987387569943e-12,3.40089289619903e-09
"219371_s_at",3.10715838879408,8.64137180699145,9.4254361100335,7.65054434921665e-12,3.58173680180425e-09
"200785_s_at",1.60379729978834,8.40269399719458,9.4165468352938,7.85869768672914e-12,3.58173680180425e-09
"214734_at",-2.16235912831882,6.06832958871334,-9.41495543169575,7.89656381562486e-12,3.58173680180425e-09
"213290_at",2.05735097406575,7.91319840724069,9.40903398090991,8.03909144365097e-12,3.58173680180425e-09
"213249_at",1.18349078411738,7.782063992072,9.38713285130392,8.58928757223036e-12,3.66965979197014e-09
"209047_at",2.81955929012728,8.18051917718791,9.38634950180362,8.60965884014375e-12,3.66965979197014e-09
"204082_at",1.98213559409811,8.00296889669561,9.38173654055705,8.73061763138742e-12,3.66965979197014e-09
